drug_name,risk_score
sulfadiazine,0.0
silver,0.0
sibutramine,0.0
secobarbital,0.0
salsalate,0.0
suprofen,0.0
sulfonamide,0.0
sulfamethoxazole,0.0
sulfacetamide,0.0
sulconazole,0.0
prochlorperazine,0.0
vorinostat,0.0
ticlopidine,0.0
tibolone,0.0
thiothixene,0.0
thioridazine,0.0
thiabendazole,0.0
tetrahydrozoline,0.0
tetracaine,0.0
testolactone,0.0
ampicillin,0.0
sertaconazole,0.0
triamterene,0.0
tranylcypromine,0.0
tramazoline,0.0
succinylcholine,0.0
procarbazine,0.0
procaine,0.0
procainamide,0.0
probenecid,0.0
primidone,0.0
primaquine,0.0
prilocaine,0.0
prednisone,0.0
prednisolone,0.0
praziquantel,0.0
polythiazide,0.0
polymyxin,0.0
Diane-35,0.0
68Ga,0.0
roxithromycin,0.0
dextran,0.0
pyrimethamine,0.0
mepyramine,0.0
pyridostigmine,0.0
pyrantel,0.0
protriptyline,0.0
propofol,0.0
proparacaine,0.0
propantheline,0.0
promethazine,0.0
Vallergan,0.0
MK-462,0.0
Terlipressin,0.0
perindoprilat,0.0
Lutalyse,0.0
rimonabant,0.0
